year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,delay_rate,cancel_rate,diversion_rate,avg_delay_minutes_per_flight,high_delay
2019,7,OO,SkyWest Airlines Inc.,GSP,"Greer, SC: Greenville-Spartanburg International",62.0,33.0,1.62,1.28,23.48,0.0,6.62,0.0,0.0,1893.0,99.0,135.0,1107.0,0.0,552.0,0.532258064516129,0.0,0.0,30.532258064516128,1
2023,8,UA,United Air Lines Network,MFE,"Mission/McAllen/Edinburg, TX: McAllen International",57.0,14.0,6.43,0.0,1.55,0.0,6.02,0.0,0.0,935.0,365.0,0.0,40.0,0.0,530.0,0.24561403508771928,0.0,0.0,16.403508771929825,1
2008,11,OO,SkyWest Airlines Inc.,MOB,"Mobile, AL: Mobile Regional",2.0,1.0,0.06,0.0,0.94,0.0,0.0,0.0,0.0,17.0,1.0,0.0,16.0,0.0,0.0,0.5,0.0,0.0,8.5,1
2007,11,US,US Airways Inc.,MSP,"Minneapolis, MN: Minneapolis-St Paul International",249.0,33.0,12.6,0.0,6.87,0.48,13.06,3.0,0.0,1718.0,773.0,0.0,203.0,13.0,729.0,0.13253012048192772,0.012048192771084338,0.0,6.899598393574297,0
2019,2,OO,SkyWest Airlines Inc.,APN,"Alpena, MI: Alpena County Regional",50.0,7.0,2.0,1.0,0.26,0.0,3.74,13.0,4.0,812.0,575.0,20.0,21.0,0.0,196.0,0.14,0.26,0.08,16.24,0
2024,9,WN,Southwest Airlines,BZN,"Bozeman, MT: Bozeman Yellowstone International",196.0,28.0,13.35,0.0,1.27,0.0,13.38,0.0,0.0,1047.0,395.0,0.0,35.0,0.0,617.0,0.14285714285714285,0.0,0.0,5.341836734693878,0
2020,4,OO,SkyWest Airlines Inc.,SHV,"Shreveport, LA: Shreveport Regional",117.0,15.0,1.06,0.0,12.94,0.0,1.0,20.0,0.0,390.0,33.0,0.0,316.0,0.0,41.0,0.1282051282051282,0.17094017094017094,0.0,3.3333333333333335,0
2019,12,OO,SkyWest Airlines Inc.,RDU,"Raleigh/Durham, NC: Raleigh-Durham International",37.0,7.0,2.92,0.0,2.22,0.0,1.86,1.0,0.0,468.0,79.0,0.0,113.0,0.0,276.0,0.1891891891891892,0.02702702702702703,0.0,12.64864864864865,0
2018,10,YX,Republic Airline,JFK,"New York, NY: John F. Kennedy International",249.0,36.0,9.91,1.51,13.55,0.0,11.03,0.0,1.0,2649.0,812.0,285.0,827.0,0.0,725.0,0.14457831325301204,0.0,0.004016064257028112,10.63855421686747,0
2014,1,MQ,American Eagle Airlines Inc.,CLT,"Charlotte, NC: Charlotte Douglas International",421.0,127.0,28.24,19.39,42.45,0.0,36.91,61.0,0.0,8543.0,1684.0,1906.0,2298.0,0.0,2655.0,0.3016627078384798,0.14489311163895488,0.0,20.292161520190025,1
2013,5,WN,Southwest Airlines Co.,STL,"St. Louis, MO: St Louis Lambert International",2767.0,618.0,156.5,18.63,111.95,3.82,327.1,20.0,24.0,30519.0,6576.0,1638.0,4438.0,286.0,17581.0,0.22334658474882543,0.007228044813877846,0.008673653776653415,11.0296349837369,1
2006,12,AS,Alaska Airlines Inc.,YAK,"Yakutat, AK: Yakutat Airport",60.0,17.0,2.37,2.43,4.45,0.0,7.74,2.0,3.0,727.0,57.0,138.0,144.0,0.0,388.0,0.2833333333333333,0.03333333333333333,0.05,12.116666666666667,1
2006,9,XE,ExpressJet Airlines Inc.,TLH,"Tallahassee, FL: Tallahassee International",74.0,10.0,3.15,0.04,5.88,0.0,0.93,0.0,0.0,477.0,141.0,3.0,286.0,0.0,47.0,0.13513513513513514,0.0,0.0,6.445945945945946,0
2011,1,US,US Airways Inc.,TPA,"Tampa, FL: Tampa International",590.0,124.0,31.17,2.03,54.5,2.65,33.65,23.0,3.0,5842.0,1421.0,246.0,2131.0,81.0,1963.0,0.21016949152542372,0.03898305084745763,0.005084745762711864,9.901694915254238,1
2005,1,HP,America West Airlines Inc.,PIT,"Pittsburgh, PA: Pittsburgh International",31.0,12.0,4.14,0.0,1.99,0.0,5.86,1.0,0.0,564.0,202.0,0.0,60.0,0.0,302.0,0.3870967741935484,0.03225806451612903,0.0,18.193548387096776,1
2004,10,DL,Delta Air Lines Inc.,GRR,"Grand Rapids, MI: Gerald R. Ford International",52.0,4.0,0.53,0.0,1.37,0.0,2.1,1.0,0.0,168.0,18.0,0.0,38.0,0.0,112.0,0.07692307692307693,0.019230769230769232,0.0,3.230769230769231,0
2018,11,OO,SkyWest Airlines Inc.,CLE,"Cleveland, OH: Cleveland-Hopkins International",142.0,37.0,11.14,3.09,8.75,0.0,14.02,2.0,0.0,2023.0,827.0,119.0,371.0,0.0,706.0,0.2605633802816901,0.014084507042253521,0.0,14.246478873239436,1
2019,12,AA,American Airlines Network,OAK,"Oakland, CA: Metro Oakland International",86.0,12.0,4.24,0.0,2.05,0.0,5.72,0.0,0.0,391.0,135.0,0.0,56.0,0.0,200.0,0.13953488372093023,0.0,0.0,4.546511627906977,0
2024,8,MQ,Envoy Air,GPT,"Gulfport/Biloxi, MS: Gulfport-Biloxi International",18.0,3.0,0.36,0.0,0.23,0.0,2.41,0.0,0.0,135.0,29.0,0.0,7.0,0.0,99.0,0.16666666666666666,0.0,0.0,7.5,0
2004,12,US,US Airways Inc.,DEN,"Denver, CO: Denver International",240.0,88.0,36.75,0.0,26.42,0.0,24.83,3.0,0.0,4413.0,1881.0,0.0,832.0,0.0,1700.0,0.36666666666666664,0.0125,0.0,18.3875,1
2023,4,OH,PSA Airlines Inc.,BDL,"Hartford, CT: Bradley International",243.0,32.0,6.54,0.67,12.34,0.0,12.44,1.0,0.0,2385.0,608.0,54.0,612.0,0.0,1111.0,0.13168724279835392,0.00411522633744856,0.0,9.814814814814815,0
2016,11,F9,Frontier Airlines Inc.,ORD,"Chicago, IL: Chicago O'Hare International",290.0,44.0,9.07,0.0,22.86,0.0,12.07,0.0,0.0,2426.0,435.0,0.0,998.0,0.0,993.0,0.15172413793103448,0.0,0.0,8.36551724137931,0
2006,5,FL,AirTran Airways Corporation,GPT,"Gulfport/Biloxi, MS: Gulfport-Biloxi International",61.0,10.0,1.7,0.0,2.38,0.0,5.92,1.0,0.0,295.0,37.0,0.0,66.0,0.0,192.0,0.16393442622950818,0.01639344262295082,0.0,4.836065573770492,0
2012,3,EV,ExpressJet Airlines Inc.,ROA,"Roanoke, VA: Roanoke Blacksburg Regional Woodrum Field",294.0,76.0,33.17,0.91,9.41,0.0,32.51,6.0,2.0,4439.0,1915.0,69.0,348.0,0.0,2107.0,0.2585034013605442,0.02040816326530612,0.006802721088435374,15.098639455782314,1
2004,10,MQ,American Eagle Airlines Inc.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",88.0,33.0,12.84,2.22,10.13,0.0,7.81,2.0,0.0,1639.0,730.0,80.0,432.0,0.0,397.0,0.375,0.022727272727272728,0.0,18.625,1
2017,2,WN,Southwest Airlines Co.,LAS,"Las Vegas, NV: McCarran International",5470.0,1043.0,188.06,12.01,358.97,0.4,483.57,51.0,2.0,39890.0,6967.0,562.0,9808.0,18.0,22535.0,0.1906764168190128,0.009323583180987203,0.00036563071297989033,7.292504570383913,0
2010,8,YV,Mesa Airlines Inc.,FAY,"Fayetteville, NC: Fayetteville Regional/Grannis Field",27.0,5.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,341.0,262.0,0.0,53.0,0.0,26.0,0.18518518518518517,0.0,0.0,12.62962962962963,0
2006,10,AA,American Airlines Inc.,TUL,"Tulsa, OK: Tulsa International",217.0,53.0,12.12,5.62,9.21,0.0,26.05,4.0,3.0,3242.0,812.0,244.0,279.0,0.0,1907.0,0.24423963133640553,0.018433179723502304,0.013824884792626729,14.940092165898617,1
2011,5,WN,Southwest Airlines Co.,FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",1475.0,298.0,72.66,7.35,64.17,1.78,152.05,5.0,2.0,17124.0,4178.0,444.0,1913.0,143.0,10446.0,0.20203389830508475,0.003389830508474576,0.0013559322033898306,11.60949152542373,1
2003,10,EV,Atlantic Southeast Airlines,SDF,"Louisville, KY: Louisville Muhammad Ali International",85.0,7.0,5.87,0.0,0.13,0.0,1.0,2.0,0.0,364.0,337.0,0.0,12.0,0.0,15.0,0.08235294117647059,0.023529411764705882,0.0,4.2823529411764705,0
2020,12,MQ,Envoy Air,LIT,"Little Rock, AR: Bill and Hillary Clinton Nat Adams Field",205.0,32.0,5.93,0.8,15.79,0.0,9.49,1.0,0.0,2182.0,925.0,25.0,800.0,0.0,432.0,0.15609756097560976,0.004878048780487805,0.0,10.64390243902439,0
2005,6,RU,ExpressJet Airlines Inc.,GRK,"Killeen, TX: Robert Gray AAF",96.0,13.0,4.21,0.0,3.08,0.0,5.71,0.0,0.0,722.0,202.0,0.0,76.0,0.0,444.0,0.13541666666666666,0.0,0.0,7.520833333333333,0
2011,3,MQ,American Eagle Airlines Inc.,SGF,"Springfield, MO: Springfield-Branson National",333.0,53.0,26.8,0.25,9.56,0.0,16.39,5.0,1.0,2432.0,1115.0,26.0,468.0,0.0,823.0,0.15915915915915915,0.015015015015015015,0.003003003003003003,7.303303303303303,0
2023,1,G7,GoJet Airlines LLC d/b/a United Express,ITH,"Ithaca/Cortland, NY: Ithaca Tompkins International",59.0,13.0,5.93,0.0,3.64,0.0,3.43,1.0,1.0,1192.0,492.0,0.0,235.0,0.0,465.0,0.22033898305084745,0.01694915254237288,0.01694915254237288,20.203389830508474,1
2021,4,G4,Allegiant Air,PDX,"Portland, OR: Portland International",5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2010,7,MQ,American Eagle Airlines Inc.,AVP,"Scranton/Wilkes-Barre, PA: Wilkes Barre Scranton International",62.0,16.0,5.32,0.68,3.49,0.0,6.52,0.0,0.0,884.0,198.0,40.0,136.0,0.0,510.0,0.25806451612903225,0.0,0.0,14.258064516129032,1
2024,5,OO,SkyWest Airlines Inc.,FWA,"Fort Wayne, IN: Fort Wayne International",209.0,63.0,28.31,9.05,13.92,0.0,11.72,4.0,0.0,8698.0,5492.0,1080.0,1035.0,0.0,1091.0,0.3014354066985646,0.019138755980861243,0.0,41.61722488038278,1
2019,6,OO,SkyWest Airlines Inc.,GTF,"Great Falls, MT: Great Falls International",118.0,18.0,5.8,0.94,3.42,0.0,7.84,0.0,0.0,1231.0,424.0,80.0,158.0,0.0,569.0,0.15254237288135594,0.0,0.0,10.432203389830509,0
2015,1,DL,Delta Air Lines Inc.,EWR,"Newark, NJ: Newark Liberty International",410.0,74.0,21.5,1.83,35.8,0.0,14.86,22.0,1.0,5923.0,1520.0,51.0,3202.0,0.0,1150.0,0.18048780487804877,0.05365853658536585,0.0024390243902439024,14.446341463414635,0
2025,1,MQ,Envoy Air,MSO,"Missoula, MT: Missoula Montana",25.0,7.0,1.76,0.37,3.6,0.0,1.27,1.0,0.0,242.0,65.0,29.0,113.0,0.0,35.0,0.28,0.04,0.0,9.68,1
2021,12,UA,United Air Lines Network,GRR,"Grand Rapids, MI: Gerald R. Ford International",80.0,17.0,9.87,0.0,1.07,0.0,6.06,0.0,0.0,1052.0,765.0,0.0,44.0,0.0,243.0,0.2125,0.0,0.0,13.15,1
